UPRIGHT,SPAN,GBHX 75 x 1.5,GBHX 85 x 1.5,GBHX 100 x 1.5,GBHX 110 x 1.5,GBHX 125 x 1.5,GBHX 135 x 1.5,GBHX 150 x 1.5,GBHX 175 x 1.5,HEM+ 70 x 1.2,HEM+ 70 x 1.4,HEM+ 85 x 1.2,HEM+ 85 x 1.4,HEM+ 105 x 1.2,HEM+ 105 x 1.4,HEM+ 115 x 1.2,HEM+ 115 x 1.4,HEM+ 125 x 1.2,HEM+ 125 x 1.4
GXL 90-1.6,2900,1080,1569,2069,2656,3084,3579,3952,4000,536,635,791,979,1075,1493,1283,1859,1443,2228
GXL 90-1.6,2950,1048,1529,2008,2578,3030,3516,3882,4000,521,617,776,951,1055,1449,1259,1803,1417,2190
GXL 90-1.6,3000,1017,1491,1949,2502,2977,3454,3814,4000,506,600,761,924,1035,1407,1236,1751,1391,2142
GXL 90-1.6,3050,989,1455,1893,2429,2927,3394,3749,4000,493,583,746,898,1016,1366,1214,1700,1366,2080
GXL 90-1.6,3100,961,1415,1839,2360,2878,3337,3685,4000,480,568,725,874,997,1328,1193,1652,1342,2021
GXL 90-1.6,3150,934,1376,1788,2293,2830,3281,3624,4000,467,553,706,850,979,1291,1172,1606,1318,1964
GXL 90-1.6,3200,909,1339,1739,2230,2769,3226,3564,4000,455,539,687,828,962,1256,1152,1562,1296,1910
GXL 90-1.6,3250,885,1304,1692,2169,2692,3174,3507,4000,443,525,669,806,945,1222,1132,1520,1274,1910
GXL 90-1.6,3300,862,1270,1647,2110,2619,3123,3451,4000,432,512,652,785,928,1189,1113,1480,1252,1809
GXL 90-1.6,3350,839,1238,1604,2055,2549,3073,3396,4000,422,499,636,766,912,1158,1094,1441,1232,1761
GXL 90-1.6,3400,818,1207,1563,2001,2481,3025,3344,4000,412,487,620,746,897,1129,1076,1404,1211,1715
GXL 90-1.6,3450,798,1177,1523,1950,2417,2954,3292,4000,402,476,605,728,882,1100,1059,1368,1192,1672
GXL 90-1.6,3500,778,1148,1485,1900,2354,2878,3243,4000,392,464,590,711,867,1073,1042,1334,1173,1630
GXL 90-1.6,3550,759,1120,1449,1853,2295,2804,3194,3947,383,454,576,694,853,1046,1025,1301,1154,1589
GXL 90-1.6,3600,741,1094,1414,1807,2238,2733,3147,3888,374,443,563,677,839,1021,1009,1270,1136,1550
GXL 90-1.6,3650,723,1068,1380,1763,2182,2665,3101,3831,366,433,550,662,825,997,993,1240,1118,1513
GXL 90-1.6,3700,706,1043,1347,1721,2129,2600,3057,3775,358,424,537,647,812,973,978,1210,1101,1477
GXL 90-1.6,3750,690,1020,1316,1681,2078,2537,3013,3721,350,414,525,632,799,951,963,1182,1084,1442
GXL 90-1.6,3800,675,997,1286,1642,2029,2476,2971,3668,343,405,514,618,786,929,948,1155,1068,1409
GXL 90-1.6,3850,660,975,1257,1604,1982,2418,2929,3617,335,397,503,604,770,908,934,1129,1052,1377
GXL 90-1.6,3900,645,953,1229,1568,1936,2362,2865,3567,328,388,492,591,753,888,920,1104,1037,1377
GXL 90-1.6,3950,631,933,1201,1533,1892,2308,2799,3518,321,380,481,579,736,868,906,1079,1022,1316
GXL 90-1.6,4000,617,913,1175,1499,1850,2255,2735,3470,315,373,471,567,720,849,893,1056,1007,1287
GXL 90-1.8,1000,4000,4000,4000,4000,4000,4000,4000,4000,1847,2675,2440,3583,3211,4000,3721,4000,4000,4000
GXL 90-1.8,1050,4000,4000,4000,4000,4000,4000,4000,4000,1761,2561,2335,3428,3067,4000,3555,4000,3990,4000
GXL 90-1.8,1100,3962,4000,4000,4000,4000,4000,4000,4000,1682,2458,2239,3287,2936,4000,3405,4000,3819,4000
GXL 90-1.8,1150,3803,4000,4000,4000,4000,4000,4000,4000,1609,2364,2152,3158,2816,3998,3267,4000,3663,4000
GXL 90-1.8,1200,3657,4000,4000,4000,4000,4000,4000,4000,1542,2267,2065,3039,2706,3842,3141,4000,3520,4000
GXL 90-1.8,1250,3523,4000,4000,4000,4000,4000,4000,4000,1480,2176,1981,2930,2605,3699,3025,4000,3388,4000
GXL 90-1.8,1300,3398,4000,4000,4000,4000,4000,4000,4000,1423,2092,1905,2829,2511,3567,2918,4000,3266,4000
GXL 90-1.8,1350,3284,4000,4000,4000,4000,4000,4000,4000,1370,2015,1833,2736,2425,3445,2819,3936,3154,4000
GXL 90-1.8,1400,3177,3968,4000,4000,4000,4000,4000,4000,1320,1943,1767,2643,2345,3331,2726,3806,3049,4000
GXL 90-1.8,1450,3077,3845,4000,4000,4000,4000,4000,4000,1274,1876,1705,2552,2270,3225,2641,3685,2952,4000
GXL 90-1.8,1500,2984,3730,4000,4000,4000,4000,4000,4000,1231,1813,1647,2467,2194,3126,2560,3571,2861,4000
GXL 90-1.8,1550,2898,3622,4000,4000,4000,4000,4000,4000,1190,1755,1593,2387,2121,3034,2483,3465,2775,4000
GXL 90-1.8,1600,2816,3521,4000,4000,4000,4000,4000,4000,1152,1700,1542,2313,2052,2947,2404,3366,2696,3922
GXL 90-1.8,1650,2739,3427,4000,4000,4000,4000,4000,4000,1116,1649,1494,2313,1988,2866,2330,3272,2621,3813
GXL 90-1.8,1700,2667,3337,3893,4000,4000,4000,4000,4000,1083,1577,1449,2177,1927,2789,2260,3184,2543,3710
GXL 90-1.8,1750,2599,3253,3792,4000,4000,4000,4000,4000,1050,1503,1406,2114,1869,2717,2194,3101,2469,3612
GXL 90-1.8,1800,2533,3174,3697,4000,4000,4000,4000,4000,1020,1434,1366,2056,1815,2648,2131,3023,2398,3520
GXL 90-1.8,1850,2416,3098,3606,4000,4000,4000,4000,4000,991,1370,1327,2000,1764,2584,2072,2949,2331,3433
GXL 90-1.8,1900,2306,3027,3521,3995,4000,4000,4000,4000,964,1310,1291,1947,1715,2522,2016,2878,2268,3351
GXL 90-1.8,1950,2204,2959,3440,3901,4000,4000,4000,4000,938,1254,1256,1898,1668,2464,1962,2812,2207,3272
GXL 90-1.8,2000,2109,2895,3363,3812,4000,4000,4000,4000,913,1202,1223,1850,1624,2409,1912,2748,2150,3198
GXL 90-1.8,2050,2021,2833,3289,3728,4000,4000,4000,4000,889,1154,1192,1805,1582,2355,1863,2688,2096,3127
GXL 90-1.8,2100,1938,2775,3220,3647,4000,4000,4000,4000,867,1108,1162,1758,1543,2299,1817,2630,2044,3060
GXL 90-1.8,2150,1860,2719,3153,3570,4000,4000,4000,4000,845,1066,1133,1689,1504,2245,1773,2576,1994,2996
GXL 90-1.8,2200,1787,2621,3089,3497,4000,4000,4000,4000,824,1026,1106,1624,1468,2193,1731,2523,1947,2934
GXL 90-1.8,2250,1719,2522,3028,3427,3969,4000,4000,4000,804,988,1079,1563,1433,2144,1691,2469,1901,2876
GXL 90-1.8,2300,1654,2428,2970,3360,3889,4000,4000,4000,785,952,1054,1506,1400,2097,1653,2415,1858,2819
GXL 90-1.8,2350,1594,2339,2914,3295,3813,4000,4000,4000,767,919,1030,1452,1368,2052,1616,2363,1816,2766
GXL 90-1.8,2400,1536,2256,2861,3234,3740,4000,4000,4000,749,887,1007,1401,1337,2009,1580,2314,1776,2712
GXL 90-1.8,2450,1482,2177,2805,3174,3671,4000,4000,4000,732,857,984,1353,1307,1967,1546,2266,1738,2657
GXL 90-1.8,2500,1431,2103,2738,3118,3604,4000,4000,4000,716,829,963,1307,1279,1927,1514,2221,1701,2603
GXL 90-1.8,2550,1383,2032,2644,3060,3539,4000,4000,4000,693,802,942,1264,1252,1889,1482,2177,1666,2552
GXL 90-1.8,2600,1337,1966,2555,3000,3477,4000,4000,4000,671,777,922,1223,1225,1831,1452,2134,1632,2502
GXL 90-1.8,2650,1294,1902,2471,2944,3413,3961,4000,4000,651,752,903,1184,1200,1771,1423,2094,1599,2455
GXL 90-1.8,2700,1252,1842,2391,2889,3349,3884,4001,4000,631,729,884,1147,1176,1713,1395,2054,1567,2409
GXL 90-1.8,2750,1213,1785,2315,2836,3286,3811,4000,4000,612,708,866,1112,1152,1659,1367,2016,1537,2365
GXL 90-1.8,2800,1176,1731,2243,2785,3226,3740,4000,4000,594,687,849,1079,1129,1607,1341,1980,1507,2322
GXL 90-1.8,2850,1140,1679,2175,2736,3168,3672,4000,4000,577,667,832,1047,1108,1558,1316,1930,1479,2281
GXL 90-1.8,2900,1107,1629,2109,2688,3112,3606,3976,4000,561,648,816,1017,1086,1511,1291,1872,1451,2241
GXL 90-1.8,2950,1074,1582,2047,2617,3058,3542,3906,4000,546,630,800,988,1066,1467,1267,1816,1425,2202
GXL 90-1.8,3000,1044,1537,1988,2540,3006,3480,3838,4000,531,613,785,960,1046,1424,1244,1763,1399,2157
GXL 90-1.8,3050,1014,1495,1931,2467,2955,3421,3773,4000,517,596,770,934,1027,1383,1222,1713,1374,2095
GXL 90-1.8,3100,986,1454,1877,2397,2906,3363,3709,4000,503,580,755,908,1008,1344,1201,1664,1350,2035
GXL 90-1.8,3150,959,1414,1825,2330,2859,3307,3648,4000,490,565,735,908,990,1307,1180,1618,1326,1978
GXL 90-1.8,3200,933,1377,1775,2266,2804,3252,3588,4000,477,551,716,861,972,1272,1159,1574,1303,1924
GXL 90-1.8,3250,909,1341,1728,2204,2726,3200,3531,4000,466,537,698,839,955,1238,1140,1532,1281,1872
GXL 90-1.8,3300,885,1306,1682,2145,2652,3149,3475,4000,454,523,680,818,939,1205,1120,1491,1260,1822
GXL 90-1.8,3350,863,1273,1639,2089,2582,3099,3420,4000,443,511,663,797,923,1174,1102,1452,1239,1774
GXL 90-1.8,3400,841,1241,1597,2035,2514,3051,3367,4000,432,498,647,778,907,1144,1084,1415,1219,1729
GXL 90-1.8,3450,820,1211,1557,1983,2449,2985,3316,4000,422,487,631,759,892,1115,1066,1379,1199,1685
GXL 90-1.8,3500,800,1182,1518,1933,2386,2908,3266,4000,413,475,616,741,877,1087,1049,1345,1180,1642
GXL 90-1.8,3550,781,1153,1481,1885,2326,2834,3217,3988,403,464,602,723,863,1061,1032,1312,1161,1602
GXL 90-1.8,3600,762,1126,1446,1839,2268,2763,3170,3929,394,454,588,707,849,1035,1016,1280,1143,1563
GXL 90-1.8,3650,744,1100,1411,1795,2213,2695,3124,3872,385,443,575,690,835,1011,1000,1250,1126,1525
GXL 90-1.8,3700,727,1075,1378,1752,2159,2629,3080,3816,377,434,562,675,822,987,985,1220,1108,1489
GXL 90-1.8,3750,711,1051,1346,1711,2108,2566,3036,3761,369,424,550,660,809,964,970,1192,1092,1454
GXL 90-1.8,3800,695,1028,1316,1672,2058,2505,2994,3709,361,415,538,645,796,942,955,1165,1075,1421
GXL 90-1.8,3850,679,1005,1286,1634,2011,2446,2952,3657,353,406,526,645,782,921,941,1138,1059,1389
GXL 90-1.8,3900,665,983,1258,1597,1965,2389,2893,3607,346,398,515,618,765,901,927,1113,1044,1357
GXL 90-1.8,3950,650,962,1230,1561,1920,2335,2826,3558,339,390,504,605,748,881,913,1089,1029,1327
GXL 90-1.8,4000,636,942,1204,1527,1877,2282,2763,3510,332,382,494,593,732,862,900,1065,1014,1298
GXL 90-2.0,1000,4000,4000,4000,4000,4000,4000,4000,4000,1880,2697,2475,3632,3225,4000,3731,4000,4000,4000
GXL 90-2.0,1050,4000,4000,4000,4000,4000,4000,4000,4000,1794,2583,2370,3476,3080,4000,3565,4000,3999,4000
GXL 90-2.0,1100,3999,4000,4000,4000,4000,4000,4000,4000,1714,2473,2274,3335,2949,4000,3415,4000,3828,4000
GXL 90-2.0,1150,3840,4000,4000,4000,4000,4000,4000,4000,1641,2365,2186,3205,2829,4000,3277,4000,3672,4000
GXL 90-2.0,1200,3694,4000,4000,4000,4000,4000,4000,4000,1573,2267,2099,3084,2719,3861,3151,4000,3529,4000
GXL 90-2.0,1250,3559,4000,4000,4000,4000,4000,4000,4000,1511,2176,2015,2960,2618,3717,3035,4000,3397,4000
GXL 90-2.0,1300,3435,4000,4000,4000,4000,4000,4000,4000,1453,2092,1938,2846,2525,3585,2928,4000,3275,4000
GXL 90-2.0,1350,3320,4000,4000,4000,4000,4000,4000,4000,1400,2015,1866,2741,2438,3463,2828,3948,3163,4000
GXL 90-2.0,1400,3213,4000,4000,4000,4000,4000,4000,4000,1350,1943,1799,2643,2358,3349,2736,3818,3058,4000
GXL 90-2.0,1450,3113,3892,4000,4000,4000,4000,4000,4000,1304,1876,1737,2552,2283,3243,2650,3696,2961,4000
GXL 90-2.0,1500,3020,3777,4000,4000,4000,4000,4000,4000,1260,1813,1679,2467,2207,3144,2570,3583,2870,4000
GXL 90-2.0,1550,2933,3669,4000,4000,4000,4000,4000,4000,1219,1755,1624,2387,2134,3052,2492,3477,2784,4000
GXL 90-2.0,1600,2851,3568,4000,4000,4000,4000,4000,4000,1181,1700,1573,2313,2065,2965,2413,3377,2705,3935
GXL 90-2.0,1650,2775,3473,4000,4000,4000,4000,4000,4000,1144,1649,1525,2243,2001,2883,2339,3284,2629,3826
GXL 90-2.0,1700,2702,3384,3932,4000,4000,4000,4000,4000,1110,1600,1479,2177,1940,2807,2269,3196,2552,3722
GXL 90-2.0,1750,2634,3299,3831,4000,4000,4000,4000,4000,1078,1526,1436,2114,1882,2734,2203,3113,2477,3625
GXL 90-2.0,1800,2570,3219,3736,4000,4000,4000,4000,4000,1047,1456,1395,2056,1828,2666,2140,3034,2407,3533
GXL 90-2.0,1850,2458,3144,3646,4000,4000,4000,4000,4000,1018,1391,1357,2000,1776,2601,2081,2960,2340,3446
GXL 90-2.0,1900,2347,3072,3560,4000,4000,4000,4000,4000,990,1331,1320,1947,1727,2540,2025,2890,2276,3363
GXL 90-2.0,1950,2244,3004,3479,3935,4000,4000,4000,4000,964,1275,1285,1898,1681,2481,1971,2823,2216,3285
GXL 90-2.0,2000,2148,2940,3401,3846,4000,4000,4000,4000,938,1222,1252,1850,1637,2426,1921,2759,2159,3211
GXL 90-2.0,2050,2059,2878,3328,3761,4000,4000,4000,4000,914,1173,1220,1805,1595,2372,1872,2699,2104,3140
GXL 90-2.0,2100,1975,2820,3258,3681,4000,4000,4000,4000,891,1127,1190,1762,1555,2316,1826,2641,2052,3072
